token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
18131,YASHO-EQ,YASHO,,-1,1,,NSE,10
1008,FACT-EQ,FACT,,-1,1,,NSE,5
10159,ORICONENT-EQ,ORICONENT,,-1,1,,NSE,1
10188,SHYAMCENT-EQ,SHYAMCENT,,-1,1,,NSE,1
10227,MANORAMA-EQ,MANORAMA,,-1,1,,NSE,10
10243,SYNGENE-EQ,SYNGENE,,-1,1,,NSE,5
10397,JISLJALEQS-EQ,JISLJALEQS,,-1,1,,NSE,1
10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1,1,,NSE,10
10579,MARKSANS-EQ,MARKSANS,,-1,1,,NSE,1
10622,SADBHIN-BE,SADBHIN,,-1,1,,NSE,1
10619,HDFCNEXT50-EQ,HDFCNEXT50,,-1,1,,NSE,1
10690,NIFTYQLITY-EQ,NIFTYQLITY,,-1,1,,NSE,1
10723,INFRAIETF-EQ,INFRAIETF,,-1,1,,NSE,1
10905,GENESYS-EQ,GENESYS,,-1,1,,NSE,5
10922,OMAXAUTO-EQ,OMAXAUTO,,-1,1,,NSE,1
10940,DIVISLAB-EQ,DIVISLAB,,-1,1,,NSE,50
10990,RADICO-EQ,RADICO,,-1,1,,NSE,10
11039,DCMNVL-EQ,DCMNVL,,-1,1,,NSE,1
11045,SATIA-EQ,SATIA,,-1,1,,NSE,1
11058,SECURKLOUD-EQ,SECURKLOUD,,-1,1,,NSE,1
11140,SUMIT-EQ,SUMIT,,-1,1,,NSE,1
11223,UCOBANK-EQ,UCOBANK,,-1,1,,NSE,1
11260,HDFCVALUE-EQ,HDFCVALUE,,-1,1,,NSE,1
11271,DREDGECORP-EQ,DREDGECORP,,-1,1,,NSE,5
11301,LUXIND-EQ,LUXIND,,-1,1,,NSE,10
11374,TIPSFILMS-EQ,TIPSFILMS,,-1,1,,NSE,5
11411,RKFORGE-EQ,RKFORGE,,-1,1,,NSE,5
11501,FROG-SM,FROG,,-1,400,,NSE,5
11512,CENTEXT-BE,CENTEXT,,-1,1,,NSE,1
11571,PPLPHARMA-EQ,PPLPHARMA,,-1,1,,NSE,1
1162,GTL-EQ,GTL,,-1,1,,NSE,1
11612,PHANTOMFX-SM,PHANTOMFX,,-1,300,,NSE,5
117,OMFURN-SM,OMFURN,,-1,1200,,NSE,5
11637,SALSTEEL-BE,SALSTEEL,,-1,1,,NSE,1
11743,JINDALPHOT-EQ,JINDALPHOT,,-1,1,,NSE,10
11782,EVEREADY-EQ,EVEREADY,,-1,1,,NSE,5
11845,CYBERMEDIA-BE,CYBERMEDIA,,-1,1,,NSE,1
1190,FMGOETZE-EQ,FMGOETZE,,-1,1,,NSE,5
11903,IPSL-SM,IPSL,,-1,500,,NSE,5
11915,YESBANK-EQ,YESBANK,,-1,1,,NSE,1
11971,GOLDIAM-EQ,GOLDIAM,,-1,1,,NSE,5
12022,AURIONPRO-EQ,AURIONPRO,,-1,1,,NSE,10
12024,ACI-EQ,ACI,,-1,1,,NSE,5
12026,RENUKA-EQ,RENUKA,,-1,1,,NSE,1
12124,DOLATALGO-EQ,DOLATALGO,,-1,1,,NSE,1
1216,PRAXIS-BE,PRAXIS,,-1,1,,NSE,1
1232,GRASIM-EQ,GRASIM,,-1,1,,NSE,10
1235,GREAVESCOT-EQ,GREAVESCOT,,-1,1,,NSE,1
12603,PRECAM-EQ,PRECAM,,-1,1,,NSE,1
1274,VASA-SM,VASA,,-1,4000,,NSE,5
13086,AIAENG-EQ,AIAENG,,-1,1,,NSE,10
1315,GALAXYSURF-EQ,GALAXYSURF,,-1,1,,NSE,10
13111,ORIENTCER-EQ,ORIENTCER,,-1,1,,NSE,1
13143,GSEC10IETF-EQ,GSEC10IETF,,-1,1,,NSE,1
